Date;NK
27/03/2004;1021
27/03/2004;940
27/03/2004;1046
27/03/2004;1026
27/03/2004;983
27/03/2004;915
27/03/2004;935
27/03/2004;976
27/03/2004;1124
27/03/2004;1163
27/03/2004;1167
27/03/2004;1121
27/03/2004;1071
27/03/2004;1065
27/03/2004;1157
27/03/2004;1046
27/03/2004;1147
27/03/2004;1119
27/03/2004;1210
27/03/2004;1306
27/03/2004;1258
27/03/2004;1148
27/03/2004;1108
27/03/2004;1231
28/03/2004;1293
28/03/2004;1274
28/03/2004;1135
28/03/2004;1151
28/03/2004;1010
28/03/2004;870
28/03/2004;983
28/03/2004;995
28/03/2004;1024
28/03/2004;1163
28/03/2004;1218
28/03/2004;1210
28/03/2004;1114
28/03/2004;995
28/03/2004;927
28/03/2004;1002
28/03/2004;987
28/03/2004;993
28/03/2004;1012
28/03/2004;1114
28/03/2004;1093
28/03/2004;968
28/03/2004;960
28/03/2004;942
29/03/2004;888
29/03/2004;818
29/03/2004;840
29/03/2004;894
29/03/2004;864
29/03/2004;898
29/03/2004;946
29/03/2004;1309
29/03/2004;1326
29/03/2004;966
29/03/2004;975
29/03/2004;988
29/03/2004;971
29/03/2004;1010
29/03/2004;984
29/03/2004;962
29/03/2004;1012
29/03/2004;1058
29/03/2004;1173
29/03/2004;1127
29/03/2004;1020
29/03/2004;949
29/03/2004;930
29/03/2004;900
30/03/2004;899
30/03/2004;866
30/03/2004;900
30/03/2004;949
30/03/2004;897
30/03/2004;956
30/03/2004;1054
30/03/2004;1343
30/03/2004;1584
30/03/2004;1556
30/03/2004;1565
30/03/2004;1429
30/03/2004;1419
30/03/2004;1373
30/03/2004;1185
30/03/2004;1122
30/03/2004;1085
30/03/2004;1249
30/03/2004;1236
30/03/2004;1334
30/03/2004;1264
30/03/2004;1073
30/03/2004;1053
30/03/2004;1098
31/03/2004;1029
31/03/2004;973
31/03/2004;972
31/03/2004;832
31/03/2004;851
31/03/2004;909
31/03/2004;1038
31/03/2004;1636
31/03/2004;1580
31/03/2004;1262
31/03/2004;1197
31/03/2004;1277
31/03/2004;1430
31/03/2004;1242
31/03/2004;1349
31/03/2004;1390
31/03/2004;1224
31/03/2004;1253
31/03/2004;1312
31/03/2004;1254
31/03/2004;1198
31/03/2004;1060
31/03/2004;1050
31/03/2004;1029
01/04/2004;1143
01/04/2004;1044
01/04/2004;1034
01/04/2004;956
01/04/2004;909
01/04/2004;996
01/04/2004;1154
01/04/2004;1510
01/04/2004;1722
01/04/2004;1512
01/04/2004;1258
01/04/2004;1094
01/04/2004;1129
01/04/2004;1125
01/04/2004;-200
01/04/2004;-200
01/04/2004;-200
01/04/2004;1308
01/04/2004;1529
01/04/2004;1592
01/04/2004;1536
01/04/2004;1192
01/04/2004;1186
01/04/2004;1203
02/04/2004;1139
02/04/2004;1072
02/04/2004;954
02/04/2004;951
02/04/2004;926
02/04/2004;968
02/04/2004;1067
02/04/2004;1386
02/04/2004;1474
02/04/2004;1569
02/04/2004;1375
02/04/2004;1328
02/04/2004;1341
02/04/2004;1297
02/04/2004;1303
02/04/2004;1281
02/04/2004;1248
02/04/2004;1382
02/04/2004;1491
02/04/2004;1620
02/04/2004;1693
02/04/2004;1374
02/04/2004;1287
02/04/2004;1408
03/04/2004;1254
03/04/2004;1141
03/04/2004;1141
03/04/2004;1042
03/04/2004;986
03/04/2004;1005
03/04/2004;1041
03/04/2004;1272
03/04/2004;1436
03/04/2004;1472
03/04/2004;1418
03/04/2004;1410
03/04/2004;1438
03/04/2004;1278
03/04/2004;1257
03/04/2004;1331
03/04/2004;1361
03/04/2004;1398
03/04/2004;1483
03/04/2004;1697
03/04/2004;1459
03/04/2004;1268
03/04/2004;1469
03/04/2004;1316
04/04/2004;1224
04/04/2004;1215
04/04/2004;1115
04/04/2004;1124
04/04/2004;1028
04/04/2004;1010
04/04/2004;1074
04/04/2004;1034
04/04/2004;1130
04/04/2004;1275
04/04/2004;1324
04/04/2004;1268
04/04/2004;1272
04/04/2004;1160
04/04/2004;1136
04/04/2004;1296
04/04/2004;1345
04/04/2004;1296
04/04/2004;1258
04/04/2004;1420
04/04/2004;1366
04/04/2004;1113
04/04/2004;1196
04/04/2004;1188
05/04/2004;1102
05/04/2004;969
05/04/2004;983
05/04/2004;876
05/04/2004;884
05/04/2004;1024
05/04/2004;1126
05/04/2004;1415
05/04/2004;1631
05/04/2004;1499
05/04/2004;1461
05/04/2004;1430
05/04/2004;1498
05/04/2004;1454
05/04/2004;1402
05/04/2004;1327
05/04/2004;1273
05/04/2004;1457
05/04/2004;1543
05/04/2004;1499
05/04/2004;1378
05/04/2004;1243
05/04/2004;1196
05/04/2004;1137
06/04/2004;1015
06/04/2004;978
06/04/2004;933
06/04/2004;927
06/04/2004;908
06/04/2004;980
06/04/2004;1236
06/04/2004;1664
06/04/2004;1757
06/04/2004;1524
06/04/2004;1329
06/04/2004;1167
06/04/2004;1369
06/04/2004;1284
06/04/2004;1221
06/04/2004;1096
06/04/2004;1143
06/04/2004;1251
06/04/2004;1268
06/04/2004;1314
06/04/2004;1315
06/04/2004;1095
06/04/2004;1027
06/04/2004;1012
07/04/2004;948
07/04/2004;889
07/04/2004;830
07/04/2004;801
07/04/2004;804
07/04/2004;824
07/04/2004;1000
07/04/2004;1307
07/04/2004;1286
07/04/2004;1150
07/04/2004;1087
07/04/2004;1016
07/04/2004;1029
07/04/2004;1109
07/04/2004;997
07/04/2004;1177
07/04/2004;1045
07/04/2004;1171
07/04/2004;1221
07/04/2004;1262
07/04/2004;1207
07/04/2004;956
07/04/2004;1020
07/04/2004;1107
08/04/2004;1020
08/04/2004;1051
08/04/2004;965
08/04/2004;890
08/04/2004;823
08/04/2004;869
08/04/2004;939
08/04/2004;1274
08/04/2004;1512
08/04/2004;1435
08/04/2004;1207
08/04/2004;1223
08/04/2004;1121
08/04/2004;1176
08/04/2004;1144
08/04/2004;1136
08/04/2004;1085
08/04/2004;1297
08/04/2004;1408
08/04/2004;1618
08/04/2004;1319
08/04/2004;1045
08/04/2004;1058
08/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;-200
09/04/2004;1176
10/04/2004;1047
10/04/2004;1116
10/04/2004;1074
10/04/2004;922
10/04/2004;898
10/04/2004;970
10/04/2004;1073
10/04/2004;1081
10/04/2004;1159
10/04/2004;1112
10/04/2004;1112
10/04/2004;1063
10/04/2004;1032
10/04/2004;936
10/04/2004;883
10/04/2004;942
10/04/2004;943
10/04/2004;1007
10/04/2004;1037
10/04/2004;1127
10/04/2004;1123
10/04/2004;1110
10/04/2004;1247
10/04/2004;1220
11/04/2004;1028
11/04/2004;978
11/04/2004;949
11/04/2004;910
11/04/2004;863
11/04/2004;836
11/04/2004;856
11/04/2004;888
11/04/2004;912
11/04/2004;938
11/04/2004;1053
11/04/2004;1087
11/04/2004;1153
11/04/2004;894
11/04/2004;797
11/04/2004;854
11/04/2004;892
11/04/2004;935
11/04/2004;989
11/04/2004;1063
11/04/2004;922
11/04/2004;925
11/04/2004;924
11/04/2004;914
12/04/2004;840
12/04/2004;799
12/04/2004;856
12/04/2004;830
12/04/2004;753
12/04/2004;785
12/04/2004;835
12/04/2004;865
12/04/2004;922
12/04/2004;975
12/04/2004;1040
12/04/2004;1115
12/04/2004;1004
12/04/2004;895
12/04/2004;917
12/04/2004;1025
12/04/2004;1035
12/04/2004;1025
12/04/2004;1040
12/04/2004;1070
12/04/2004;964
12/04/2004;904
12/04/2004;913
12/04/2004;914
13/04/2004;893
13/04/2004;844
13/04/2004;837
13/04/2004;868
13/04/2004;825
13/04/2004;956
13/04/2004;1124
13/04/2004;1496
13/04/2004;1452
13/04/2004;1172
13/04/2004;1020
13/04/2004;1044
13/04/2004;1020
13/04/2004;1009
13/04/2004;1073
13/04/2004;1098
13/04/2004;1061
13/04/2004;1289
13/04/2004;1442
13/04/2004;1479
13/04/2004;1266
13/04/2004;1149
13/04/2004;1168
13/04/2004;1079
14/04/2004;1047
14/04/2004;936
14/04/2004;900
14/04/2004;839
14/04/2004;840
14/04/2004;905
14/04/2004;1079
14/04/2004;1417
14/04/2004;1529
14/04/2004;1397
14/04/2004;1214
14/04/2004;1109
14/04/2004;1122
14/04/2004;1094
14/04/2004;1164
14/04/2004;1188
14/04/2004;1098
14/04/2004;1180
14/04/2004;1195
14/04/2004;1234
14/04/2004;1425
14/04/2004;1320
14/04/2004;1158
14/04/2004;1060
15/04/2004;1036
15/04/2004;943
15/04/2004;899
15/04/2004;889
15/04/2004;847
15/04/2004;918
15/04/2004;1105
15/04/2004;1491
15/04/2004;1508
15/04/2004;1489
15/04/2004;1451
15/04/2004;1454
15/04/2004;1392
15/04/2004;1351
15/04/2004;1418
15/04/2004;1303
15/04/2004;1292
15/04/2004;1560
15/04/2004;1765
15/04/2004;1875
15/04/2004;1746
15/04/2004;1607
15/04/2004;1277
15/04/2004;1207
16/04/2004;1209
16/04/2004;1189
16/04/2004;1132
16/04/2004;974
16/04/2004;1033
16/04/2004;1075
16/04/2004;1242
16/04/2004;1657
16/04/2004;1406
16/04/2004;1150
16/04/2004;1184
16/04/2004;1223
16/04/2004;1196
16/04/2004;1559
16/04/2004;1544
16/04/2004;1485
16/04/2004;1498
16/04/2004;1593
16/04/2004;1529
16/04/2004;1689
16/04/2004;1535
16/04/2004;1304
16/04/2004;1235
16/04/2004;1281
17/04/2004;1167
17/04/2004;1134
17/04/2004;1100
17/04/2004;1057
17/04/2004;902
17/04/2004;982
17/04/2004;997
17/04/2004;1141
17/04/2004;1163
17/04/2004;1107
17/04/2004;1228
17/04/2004;1033
17/04/2004;984
17/04/2004;1066
17/04/2004;926
17/04/2004;979
17/04/2004;993
17/04/2004;970
17/04/2004;997
17/04/2004;1097
17/04/2004;1105
17/04/2004;993
17/04/2004;1136
17/04/2004;1297
18/04/2004;1110
18/04/2004;1027
18/04/2004;1024
18/04/2004;992
18/04/2004;929
18/04/2004;892
18/04/2004;895
18/04/2004;915
18/04/2004;947
18/04/2004;1032
18/04/2004;1219
18/04/2004;1217
18/04/2004;1097
18/04/2004;938
18/04/2004;944
18/04/2004;1139
18/04/2004;1163
18/04/2004;1157
18/04/2004;1154
18/04/2004;1342
18/04/2004;1178
18/04/2004;1152
18/04/2004;1078
18/04/2004;1167
19/04/2004;1111
19/04/2004;988
19/04/2004;917
19/04/2004;850
19/04/2004;885
19/04/2004;888
19/04/2004;1101
19/04/2004;1399
19/04/2004;1325
19/04/2004;1058
19/04/2004;990
19/04/2004;1018
19/04/2004;1105
19/04/2004;1194
19/04/2004;1088
19/04/2004;1084
19/04/2004;1207
19/04/2004;1186
19/04/2004;1053
19/04/2004;1032
19/04/2004;989
19/04/2004;930
19/04/2004;951
19/04/2004;985
20/04/2004;937
20/04/2004;887
20/04/2004;806
20/04/2004;771
20/04/2004;802
20/04/2004;878
20/04/2004;1070
20/04/2004;1430
20/04/2004;1565
20/04/2004;1365
20/04/2004;1348
20/04/2004;1311
20/04/2004;1302
20/04/2004;1250
20/04/2004;1083
20/04/2004;1005
20/04/2004;1129
20/04/2004;1327
20/04/2004;1428
20/04/2004;1426
20/04/2004;1310
20/04/2004;1114
20/04/2004;991
20/04/2004;1089
21/04/2004;911
21/04/2004;1005
21/04/2004;863
21/04/2004;857
21/04/2004;804
21/04/2004;871
21/04/2004;1035
21/04/2004;1513
21/04/2004;1726
21/04/2004;1396
21/04/2004;1333
21/04/2004;1161
21/04/2004;1081
21/04/2004;1075
21/04/2004;1055
21/04/2004;1053
21/04/2004;1087
21/04/2004;1304
21/04/2004;1625
21/04/2004;1649
21/04/2004;1443
21/04/2004;1209
21/04/2004;1105
21/04/2004;1020
22/04/2004;991
22/04/2004;937
22/04/2004;882
22/04/2004;843
22/04/2004;819
22/04/2004;834
22/04/2004;977
22/04/2004;1234
22/04/2004;1403
22/04/2004;1538
22/04/2004;1343
22/04/2004;1243
22/04/2004;1201
22/04/2004;1121
22/04/2004;1087
22/04/2004;1165
22/04/2004;1224
22/04/2004;1431
22/04/2004;1433
22/04/2004;1527
22/04/2004;1387
22/04/2004;1158
22/04/2004;1009
22/04/2004;1026
23/04/2004;1119
23/04/2004;1000
23/04/2004;866
23/04/2004;848
23/04/2004;844
23/04/2004;852
23/04/2004;923
23/04/2004;1490
23/04/2004;1662
23/04/2004;1553
23/04/2004;1423
23/04/2004;1458
23/04/2004;1349
23/04/2004;1326
23/04/2004;1356
23/04/2004;1460
23/04/2004;1497
23/04/2004;1645
23/04/2004;1557
23/04/2004;1747
23/04/2004;1482
23/04/2004;1211
23/04/2004;1294
23/04/2004;1300
24/04/2004;1402
24/04/2004;1349
24/04/2004;1161
24/04/2004;1022
24/04/2004;948
24/04/2004;933
24/04/2004;1021
24/04/2004;1134
24/04/2004;1311
24/04/2004;1409
24/04/2004;1301
24/04/2004;1354
24/04/2004;1391
24/04/2004;1200
24/04/2004;1338
24/04/2004;1223
24/04/2004;1278
24/04/2004;1257
24/04/2004;1497
24/04/2004;1567
24/04/2004;1503
24/04/2004;1169
24/04/2004;1007
24/04/2004;1004
25/04/2004;967
25/04/2004;984
25/04/2004;931
25/04/2004;966
25/04/2004;777
25/04/2004;763
25/04/2004;804
25/04/2004;830
25/04/2004;833
25/04/2004;875
25/04/2004;882
25/04/2004;862
25/04/2004;863
25/04/2004;830
25/04/2004;807
25/04/2004;873
25/04/2004;931
25/04/2004;918
25/04/2004;1001
25/04/2004;1169
25/04/2004;1085
25/04/2004;940
25/04/2004;1126
25/04/2004;978
26/04/2004;893
26/04/2004;838
26/04/2004;803
26/04/2004;775
26/04/2004;767
26/04/2004;809
26/04/2004;898
26/04/2004;1053
26/04/2004;1033
26/04/2004;941
26/04/2004;941
26/04/2004;917
26/04/2004;977
26/04/2004;994
26/04/2004;942
26/04/2004;981
26/04/2004;984
26/04/2004;1116
26/04/2004;1181
26/04/2004;1163
26/04/2004;1081
26/04/2004;1017
26/04/2004;966
26/04/2004;924
27/04/2004;861
27/04/2004;826
27/04/2004;846
27/04/2004;842
27/04/2004;909
27/04/2004;930
27/04/2004;1120
27/04/2004;1518
27/04/2004;1461
27/04/2004;1075
27/04/2004;1061
27/04/2004;1066
27/04/2004;1179
27/04/2004;1251
27/04/2004;1120
27/04/2004;1187
27/04/2004;1145
27/04/2004;1215
27/04/2004;1317
27/04/2004;1388
27/04/2004;1295
27/04/2004;1153
27/04/2004;1078
27/04/2004;1133
28/04/2004;1055
28/04/2004;953
28/04/2004;892
28/04/2004;895
28/04/2004;859
28/04/2004;856
28/04/2004;1030
28/04/2004;1689
28/04/2004;1486
28/04/2004;1592
28/04/2004;1469
28/04/2004;1364
28/04/2004;1285
28/04/2004;1311
28/04/2004;1416
28/04/2004;1387
28/04/2004;1329
28/04/2004;1496
28/04/2004;1676
28/04/2004;1724
28/04/2004;1642
28/04/2004;1267
28/04/2004;1146
28/04/2004;1216
29/04/2004;1128
29/04/2004;1042
29/04/2004;926
29/04/2004;898
29/04/2004;889
29/04/2004;959
29/04/2004;1097
29/04/2004;1674
29/04/2004;1771
29/04/2004;1408
29/04/2004;1156
29/04/2004;1042
29/04/2004;1167
29/04/2004;1398
29/04/2004;1458
29/04/2004;1554
29/04/2004;1495
29/04/2004;1560
29/04/2004;1664
29/04/2004;1761
29/04/2004;1524
29/04/2004;1398
29/04/2004;1342
29/04/2004;1433
30/04/2004;1297
30/04/2004;1179
30/04/2004;1097
30/04/2004;1054
30/04/2004;1017
30/04/2004;1005
30/04/2004;1206
30/04/2004;1458
30/04/2004;1405
30/04/2004;1381
30/04/2004;1315
30/04/2004;1332
30/04/2004;1362
30/04/2004;1399
30/04/2004;1310
30/04/2004;1399
30/04/2004;1524
30/04/2004;1487
30/04/2004;1480
30/04/2004;1626
30/04/2004;1449
30/04/2004;1363
30/04/2004;1371
30/04/2004;1406
01/05/2004;1425
01/05/2004;1179
01/05/2004;1047
01/05/2004;1009
01/05/2004;882
01/05/2004;858
01/05/2004;875
01/05/2004;1012
01/05/2004;1049
01/05/2004;1131
01/05/2004;1120
01/05/2004;1117
01/05/2004;1110
01/05/2004;962
01/05/2004;963
01/05/2004;1050
01/05/2004;1053
01/05/2004;1045
01/05/2004;1124
01/05/2004;1330
01/05/2004;1171
01/05/2004;1085
01/05/2004;1358
01/05/2004;1385
02/05/2004;1167
02/05/2004;1072
02/05/2004;938
02/05/2004;1000
02/05/2004;854
02/05/2004;815
02/05/2004;866
02/05/2004;911
02/05/2004;988
02/05/2004;1046
02/05/2004;1085
02/05/2004;1008
02/05/2004;1004
02/05/2004;948
02/05/2004;1026
02/05/2004;1047
02/05/2004;1018
02/05/2004;1160
02/05/2004;1269
02/05/2004;1394
02/05/2004;1292
02/05/2004;1212
02/05/2004;1137
02/05/2004;1080
03/05/2004;1031
03/05/2004;917
03/05/2004;888
03/05/2004;872
03/05/2004;876
03/05/2004;964
03/05/2004;1147
03/05/2004;1493
03/05/2004;1597
03/05/2004;1483
03/05/2004;1222
03/05/2004;1060
03/05/2004;1048
03/05/2004;1051
03/05/2004;998
03/05/2004;1058
03/05/2004;1203
03/05/2004;1491
03/05/2004;1467
03/05/2004;1407
03/05/2004;1324
03/05/2004;1214
03/05/2004;1016
03/05/2004;1135
04/05/2004;1065
04/05/2004;999
04/05/2004;911
04/05/2004;873
04/05/2004;881
04/05/2004;967
04/05/2004;1280
04/05/2004;1564
04/05/2004;1505
04/05/2004;1309
04/05/2004;1035
04/05/2004;1148
04/05/2004;1152
04/05/2004;1131
04/05/2004;1142
04/05/2004;1197
04/05/2004;960
04/05/2004;1077
04/05/2004;1377
04/05/2004;1405
04/05/2004;1484
04/05/2004;1187
04/05/2004;870
04/05/2004;932
05/05/2004;830
05/05/2004;778
05/05/2004;820
05/05/2004;842
05/05/2004;867
05/05/2004;927
05/05/2004;1060
05/05/2004;1440
05/05/2004;1449
05/05/2004;1384
05/05/2004;1172
05/05/2004;1143
05/05/2004;1167
05/05/2004;1303
05/05/2004;1264
05/05/2004;1242
05/05/2004;1070
05/05/2004;981
05/05/2004;1198
05/05/2004;1000
05/05/2004;1110
05/05/2004;1023
05/05/2004;861
05/05/2004;969
06/05/2004;898
06/05/2004;835
06/05/2004;766
06/05/2004;743
06/05/2004;758
06/05/2004;804
06/05/2004;948
06/05/2004;1204
06/05/2004;1231
06/05/2004;1176
06/05/2004;1043
06/05/2004;992
06/05/2004;885
06/05/2004;991
06/05/2004;1182
06/05/2004;1191
06/05/2004;1272
06/05/2004;1138
06/05/2004;1008
06/05/2004;1075
06/05/2004;1034
06/05/2004;934
06/05/2004;883
06/05/2004;1021
07/05/2004;1059
07/05/2004;1023
07/05/2004;855
07/05/2004;826
07/05/2004;831
07/05/2004;817
07/05/2004;972
07/05/2004;1200
07/05/2004;1234
07/05/2004;1164
07/05/2004;976
07/05/2004;844
07/05/2004;851
07/05/2004;926
07/05/2004;890
07/05/2004;921
07/05/2004;1052
07/05/2004;1247
07/05/2004;1205
07/05/2004;1016
07/05/2004;984
07/05/2004;1041
07/05/2004;1027
07/05/2004;1025
08/05/2004;984
08/05/2004;969
08/05/2004;758
08/05/2004;767
08/05/2004;772
08/05/2004;831
08/05/2004;871
08/05/2004;995
08/05/2004;1093
08/05/2004;1079
08/05/2004;1084
08/05/2004;1204
08/05/2004;1213
08/05/2004;1124
08/05/2004;945
08/05/2004;964
08/05/2004;903
08/05/2004;918
08/05/2004;1028
08/05/2004;1175
08/05/2004;1215
08/05/2004;1072
08/05/2004;1070
08/05/2004;1021
09/05/2004;1063
09/05/2004;1068
09/05/2004;993
09/05/2004;1034
09/05/2004;1025
09/05/2004;1036
09/05/2004;924
09/05/2004;922
09/05/2004;830
09/05/2004;947
09/05/2004;977
09/05/2004;1025
09/05/2004;1040
09/05/2004;1013
